rap,-,+,dsig,+,-,stat +,stat -,syst +,syst -,"sys,lumi +","sys,lumi -",$y^Z$ LOW,$y^Z$ HIGH
2.0625,-0.0625,0.0625,4.4,0.503333333333333,0.503333333333333,0.7,-0.7,0.1,-0.1,0.1,-0.1,2,2.125
2.1875,-0.0625,0.0625,14.6,1.51,1.51,1.2,-1.2,0.2,-0.2,0.3,-0.3,2.125,2.25
2.3125,-0.0625,0.0625,24.3,2.49333333333333,2.49333333333333,1.5,-1.5,0.4,-0.4,0.5,-0.5,2.25,2.375
2.4375,-0.0625,0.0625,27.5,3.04,3.04,1.6,-1.6,0.6,-0.6,0.6,-0.6,2.375,2.5
2.5625,-0.0625,0.0625,36.1,4.04333333333333,4.04333333333333,1.8,-1.8,0.8,-0.8,0.7,-0.7,2.5,2.625
2.6875,-0.0625,0.0625,39.9,4.70333333333333,4.70333333333333,2,-2,0.7,-0.7,0.8,-0.8,2.625,2.75
2.8125,-0.0625,0.0625,42.6,4.76,4.76,2,-2,0.7,-0.7,0.9,-0.9,2.75,2.875
2.9375,-0.0625,0.0625,38.8,4.31333333333333,4.31333333333333,1.9,-1.9,0.7,-0.7,0.8,-0.8,2.875,3
3.0625,-0.0625,0.0625,30.8,3.26,3.26,1.7,-1.7,0.5,-0.5,0.6,-0.6,3,3.125
3.1875,-0.0625,0.0625,25.5,2.80333333333333,2.80333333333333,1.6,-1.6,0.4,-0.4,0.5,-0.5,3.125,3.25
3.3125,-0.0625,0.0625,16,1.81,1.81,1.3,-1.3,0.3,-0.3,0.3,-0.3,3.25,3.375
3.5,-0.125,0.125,6.8,0.403333333333333,0.403333333333333,0.6,-0.6,0.2,-0.2,0.1,-0.1,3.375,3.625
3.8125,-0.1875,0.1875,0.7,0.04,0.04,0.2,-0.2,0,0,0,0,3.625,4
