#: table_doi: 10.17182/hepdata.132011.v2/t19,,,,,,,,,,,,,
#: name: Table 15,,,,,,,,,,,,,
#: description: Measured single differential cross-sections in interval regions of $p_{T}^{Z}$. The first uncertainty is statistical,,,,,,,,,,,, the second systematic, and the third is due to the luminosity.
#: data_file: table_15.yaml,,,,,,,,,,,,,
#: keyword cmenergies: 13000,,,,,,,,,,,,,
#: keyword reactions: P P --> Z0 <MU+ MU-> X,,,,,,,,,,,,,
#: keyword phrases: Cross Section | Di-Muon Production | Z Production | Single Differential Cross Section | Transverse Momentum Dependence,,,,,,,,,,,,,
#: keyword observables: DSIG/DPT,,,,,,,,,,,,,
#: $\eta(\mu^{\pm})$,,,2.0-4.5,,,,,,,,,,
#: $M_{\mu\mu}$,,,60-120 GeV/$\it{c}^{2}$,,,,,,,,,,
#: $p_{T}(\mu^{\pm})$,,,$>20$ GeV/$\it{c}$,,,,,,,,,,
#: SQRT(S) [TeV],,,13,,,,,,,,,,
#: LUMINOSITY [fb$^{-1}$],,,5.1,,,,,,,,,,
#:$p_{T}^{Z}$ [GeV/$c$],,,#:$d\sigma(Z -> \mu^+\mu^-)/dp_{T}^{Z}$ [pb],,,#:(Stat.) +,#:(Stat.) -,#:(Syst.) +,#:(Syst.) -,#;(Lumi.) +,#:(Lumi.) -,#:$p_{T}^{Z}$ [GeV/$c$] LOW,#;$p_{T}^{Z}$ [GeV/$c$] HIGH
x,+,-,y,+,-,,,,,,,,
1.1,1.1,-1.1,5.7,0.22,-0.22,0.03,-0.03,0.08,-0.08,0.11,-0.11,0,2.2
2.8,0.6,-0.6,11.07,0.43,-0.43,0.05,-0.05,0.16,-0.16,0.22,-0.22,2.2,3.4
4,0.6,-0.6,11.44,0.44,-0.44,0.05,-0.05,0.16,-0.16,0.23,-0.23,3.4,4.6
5.2,0.600000000000001,-0.6,11.28,0.43,-0.43,0.05,-0.05,0.15,-0.15,0.23,-0.23,4.6,5.8
6.5,0.7,-0.7,9.94,0.35,-0.35,0.04,-0.04,0.11,-0.11,0.2,-0.2,5.8,7.2
7.95,0.75,-0.749999999999999,8.86,0.34,-0.34,0.04,-0.04,0.12,-0.12,0.18,-0.18,7.2,8.7
9.6,0.9,-0.9,7.75,0.27,-0.27,0.03,-0.03,0.09,-0.09,0.15,-0.15,8.7,10.5
11.65,1.15,-1.15,6.44,0.23,-0.23,0.03,-0.03,0.07,-0.07,0.13,-0.13,10.5,12.8
14.1,1.3,-1.3,5.16,0.17,-0.17,0.02,-0.02,0.05,-0.05,0.1,-0.1,12.8,15.4
17.2,1.8,-1.8,4.03,0.14,-0.14,0.02,-0.02,0.04,-0.04,0.08,-0.08,15.4,19
21.75,2.75,-2.75,2.88,0.1,-0.1,0.01,-0.01,0.03,-0.03,0.06,-0.06,19,24.5
29.25,4.75,-4.75,1.774,0.058,-0.058,0.007,-0.007,0.016,-0.016,0.035,-0.035,24.5,34
48.5,14.5,-14.5,0.674,0.022,-0.022,0.002,-0.002,0.007,-0.007,0.013,-0.013,34,63
166.5,103.5,-103.5,0.0361,0.0013,-0.0013,0.0002,-0.0002,0.0004,-0.0004,0.0007,-0.0007,63,270
